country	countrycode	e0_M	e0_F	year	pwt_year	Na_M	Na_F	etohboth	etohM	etohF	pc_gdp	pop	rgdpe	non_2010_data	country_name_p	emp	avh	hc	cgdpe	cgdpo	ck	ctfp	rgdpna	rkna	rtfpna	labsh	sqrt_pc_gdp	log_pc_gdp
AUS	AUS	45.84	51.299999	1990	1990	3.55	3.22	11.01			24053.39559431879	17.096153	411220.53	1	Australia	7.9240603	1806.08	3.2708957	412046.03	414718.78	1368530.4	.83726549	433539.3267652488	1491339.1	.84539837	.61351722	155.09157	10.088032
AUT	AUT	43.98	49.959999	1990	1990	4.1999998	3.5999999	13.9			22479.43072712347	7.670513	172428.77	0	Austria	3.48966	1913.75	2.5629323	173116.73	165829.11	603227.25	.89112383	193835.757882977	628099.44	.9139418	.66290152	149.93143	10.020356
BEL	BEL	44.529999	50.48	1990	1990	3.76	3.21	12.18			23044.89141090192	9.949019	229274.06	1	Belgium	3.8371742	1651.81	2.8456595	227482.09	208058.27	682512.19	.93720812	243395.0618458859	692079.38	.96711797	.62545222	151.80544	10.045199
BGR	BGR	40.720001	46.619999	1990	1990	3.8199999	3.45	11.46			7645.890785601177	8.818914999999999	67428.461	0	Bulgaria	4.3548541	1657.35	2.7010288	63644.164	64201.539	167057.02	.50267625	68348.94705326493	88408.344	1.1519684	.49780747	87.440781	8.9419241
BLR	BLR	39	47.369999	1990	1990	4.1900001	3.8299999	7.8499999			11828.45867812899	10.2597	121356.44	0	Belarus	5.1804395			117005.3	116128.73	350107.75		70765.33510667365	184724.03		.49625936	108.75872	9.3782635
CAN	CAN	45.900002	51.669998	1990	1990	3.74	3.3699999	8.7700005			26972.52357273895	27.700854	747161.94	1	Canada	13.122884	1803.67	3.0137832	745153	738072.94	2250825.8	.94985127	758747.5939011401	1621099.4	1.0007789	.62015849	164.23314	10.202574
CHE	CHE	45.849998	51.810001	1990	1990	3.9300001	3.3599999	12.99			32568.87528773231	6.673737999999999	217356.14	0	Switzerland	3.8759172	1700.04	2.8638108	220925.8	214519.3	696772.31	.95737159	241735.8967431587	624322.88	.98171103	.71936697	180.46849	10.391112
CHL	CHL	44.119999	49.290001	1990	1992	2.9200001	2.6700001	8.6099997			7765.893008620251	13.678373	106224.78	1	Chile	4.7451758	1992.98	2.6590633	106855.63	107385.09	205043.81	.74380571	95530.91414458657	196487.81	.99415857	.43601879	88.124306	8.9574966
CZE	CZE	39.439999	46.66	1990	1990	3.97	3.53	12.98			19351.09502172146	10.302718	199368.88	0	Czech Republic	5.1317468	1862.42	3.1006436	194356.2	187705.39	479376.44	.77219701	161022.3888328008	371775.28	1.0894687	.56066436	139.10822	9.8705044
DEUTNP	DEU	43.549999	49.470001	1990	1990	3.73	3.1800001	14.89			22186.77829329238	79.098094	1754931.9	0	Germany	37.151821	1575.89	2.5681758	1748145.8	1718241.5	5630674.5	.9082818	2094709.324827	5866225	1.0952984	.69016844	148.95227	10.007252
DNK	DNK	43.580002	48.75	1990	1990	3.8	3.26	11.85			23328.95392493028	5.141033999999999	119934.95	0	Denmark	2.6450412	1524.68	2.8205163	117939.13	117820.02	400768.81	.82172602	131231.8896670182	447033.84	.84201699	.66759562	152.73819	10.05745
ESP	ESP	45.470001	51.75	1990	1990	4.0100002	3.4400001	12.91			15624.24545165005	38.88915799999999	607613.75	1	Spain	13.638808	1742.18	2.2312484	606545.25	590962.56	1822714.8	.97176945	736914.6320423211	2149369.3	1.1784097	.64817494	124.99698	9.656579
EST	EST	37.84	46.689999	1990	1990	3.6700001	3.3299999	9.8400002			10430.85548950933	1.567631	16351.732	0	Estonia	.82990474	1944.26	2.7773633	15760.343	15914.607	31339.889	.58647656	15676.60395631843	28698.668	.86621243	.64603579	102.13156	9.2525234
FIN	FIN	42.59	49.91	1990	1990	4.02	3.4400001	9.5299997			22151.39201987951	4.986441	110456.61	1	Finland	2.480505	1769.12	2.5954514	109509.34	107188.83	454903.59	.79086584	116490.1341353787	459205.47	.81569725	.69253123	148.83344	10.005655
FRATNP	FRA	44.639999	52.09	1990	1990	4	3.4100001	15.73			22161.64118169284	58.18317399999999	1289434.6	0	France	23.771898	1644.01	2.4275894	1264593.9	1251311.5	3962330.3	1.0319376	1390549.41063597	4531443	1.0155652	.63657302	148.86786	10.006118
GBR_NP	GBR	44.450001	49.529999	1990	1990	3.75	3.21	9.96			20882.37104128581	57.214474	1194773.9	0	United Kingdom	26.804369	1769.65	2.5841329	1180755	1160481.9	2831869.8	.95952296	1300128.91825668	2940812	.84206545	.65587044	144.50734	9.946661
HUN	HUN	37.57	45.490002	1990	1990	4.5	4.0700002	16.15			11313.59597501812	10.37632	117393.49	1	Hungary	5.3081455	1944.98	2.7022524	112998.8	111739.27	298193.53	.56385815	128263.067901788	318355.63	.87406856	.66438264	106.36539	9.3337603
IRL	IRL	43.75	48.810001	1990	1990	3.9100001	3.3199999	11.45			16235.25203867277	3.531219	57330.23	1	Ireland	1.1835006	2171.26	3.0526712	57424.945	54730.504	159982.52	.85649604	69917.66961302891	102374.98	.82943302	.47035766	127.41763	9.6949406
ISL	ISL	47.32	51.279999	1990	1990	3.79	3.25	5.0999999			27283.90515781438	.254793	6951.748	0	Iceland	.13692404	1838.8	2.6809154	6831.6978	6900.0659	26311.932	.88475025	5942.727783971843	23636.01	.86445206	.6649819	165.17841	10.214052
ISR	ISR	47	50.09	1990	1990	3.97	3.4000001	1.84			18723.70004915611	4.499949	84255.695	1	Israel	1.6585593		3.054709	82892.234	81728.031	214123.2	.91970319	79898.86363900258	200202.16	.96222168	.58786654	136.83456	9.8375454
ITA	ITA	45.380001	51.310001	1990	1990	4.6500001	3.99	10.99			22124.39424883688	56.83233	1257380.9	1	Italy	22.644941	1866.58	2.4877183	1258224.5	1248744.1	4174669.8	1.0214028	1355574.769834593	4826937	1.03572	.60971183	148.74271	10.004436
JPN	JPN	47.169998	52.669998	1990	1990	4.9299998	4.5	8.2799997			23989.23392022117	122.251184	2932712.3	0	Japan	63.5009	2031	2.9278839	2938917.5	2966682.3	8730417	.87516385	3342296.114206991	11040048	1.0612541	.55160069	154.88458	10.085361
LTU	LTU	39.02	47.700001	1990	1990	3.77	3.45	7.0500002			11572.69354438309	3.69589	42771.402	0	Lithuania	1.8532286	1732.54	2.7122428	40468.738	46592.031	52918.793	.96823567	44595.42921121278	60335.898	1.0595931	.50171882	107.57645	9.3564034
LUX	LUX	43.950001	49.41	1990	1990	4.1799998	3.5699999	15.03			37589.29632680832	.381225	14329.979	1	Luxembourg	.18724488	1724	2.7293656	14484.558	11764.487	41599.582	1.022243	13697.1050040721	44109.801	.91560757	.6019305	193.87959	10.534474
LVA	LVA	37.419998	46.360001	1990	1990	3.75	3.4300001	6.7199998			13018.30190312718	2.663905	34679.52	0	Latvia	1.4088664	2042.08	2.5506399	32712.977	31322.004	65513.148	.68824381	27540.39830155483	58467.578	.96737862	.58577663	114.09777	9.4741116
NLD	NLD	45.209999	51.099998	1990	1990	3.72	3.1700001	9.9099998			22013.74678437056	14.891719	327822.53	1	Netherlands	6.6689239	1508.44	2.9593539	322690.63	325390.28	1023354.5	.86853713	405646.7760507258	1175771.3	.91765505	.63051772	148.3703	9.9994221
NOR	NOR	44.84	50.560001	1990	1990	3.96	3.3800001	4.9899998			23363.51353063844	4.241485	99095.992	1	Norway	2.0587471	1502.67	3.0493324	98508.695	108850.89	417764.78	.82961047	169777.6005901505	390513.47	.85578537	.58750433	152.85127	10.05893
NZL_NP	NZL	44.93	49.650002	1990	1990	3.4400001	3.1199999	11.31			18694.85768285186	3.397983	63524.809	1	New Zealand	1.5387468	1758.83	3.3093517	63154.117	63039.93	187366.44	.75227541	62877.87869563088	146320.09	.94140911	.52904284	136.72914	9.8360033
POL	POL	39.110001	47.18	1990	1990	4.02	3.6300001	8.1599998			7113.645344379601	38.056174	270718.13	1	Poland	16.08287	1833.29	2.6493449	262902.72	251262.13	972071.56	.41914499	303608.5005979804	990047.63	.64837229	.63018012	84.34243	8.8697701
PRT	PRT	43.5	49.380001	1990	1990	4.1999998	3.5799999	14.35			12756.3115165649	9.925476999999999	126612.48	0	Portugal	4.6338015	1838.67	2.2654614	126568.93	126370.93	373205.25	.7195369	152969.6858508267	381272.34	1.0041857	.68953043	112.94384	9.4537811
RUS	RUS	37.259998	46.419998	1990	1990	3.9100001	3.5599999	7.3699999			17918.27454209949	148.243501	2656267.8	0	Russia	75.462387		2.8746552	2553406.5	2553380	9045900	.68488991	1866500.06725511	5857415	1.1942568	.45241407	133.85916	9.7935762
SVK	SVK	38.59	46.799999	1990	1990	3.8199999	3.48	13.49			14880.9340270873	5.270072	78423.594	1	Slovak Republic	2.6397986	1853.67	3.0385361	75815.117	75695.523	191164.25	.67890549	60003.10795787916	111661.24	.9151302	.55873054	121.98743	9.6078358
SVN	SVN	41.610001	48.75	1990	1990	4.0700002	3.6800001	13.79			18042.42353574841	1.926701	34762.355	1	Slovenia	.93552476	1688.49	3.0901272	34481.438	31371.283	83961.141	.68384016	30653.55157800339	74800.422	.90725112	.74044591	134.32208	9.8004808
SWE	SWE	46.169998	51.290001	1990	1990	3.77	3.23	7.4099998			23638.51044926824	8.558828999999999	202317.97	0	Sweden	4.549283	1560.94	2.9735153	197893.91	192068.03	570176.75	.80175525	207235.1097620515	439914.91	.81137282	.68770403	153.7482	10.070633
TWN	TWN	43.490002	47.990002	1990	1990	3.55	3.23				14863.6099603007	20.278946	301418.34	0	Taiwan	8.3269138	2364	2.69222	303202.53	310457.72	460305.31	1.0637617	284444.4277549059	506832.97	.93651569	.54620886	121.9164	9.6066713
UKR	UKR	38.490002	46.650002	1990	1990	4.0500002	3.6800001	5.6700001			9271.56883250885	51.644914	478829.38	1	Ukraine	25.288387		2.8381748	461902.47	461901.5	1611832.6	.48012638	452705.7963891717	1400751	1.6192107	.52894908	96.288986	9.1347075
USA	USA	44.169998	50.25	1990	1990	3.6199999	3.26	9.2399998			31343.69544231856	253.339097	7940583.5	0	United States	122.68879	1724.17	3.4133568	7962127	7967953.5	21852088	1	7962600	25188296	.83226579	.64009082	177.0415	10.352769
AUS	AUS	50.59	54.73	2010	2010	3.5899999	3.26		17.299999	7.1999998	37583.89584982907	22.268384	836932.63	1	Australia	11.580665	1693.08	3.388505	822678.69	790384.38	2794573	.82773566	831457.8836386008	3041765.3	.94929361	.57217467	193.86566	10.534331
AUT	AUT	48.75	53.77	2010	2010	4.1599998	3.76		15.4	6.3000002	36637.68158978389	8.393644	307523.66	0	Austria	4.1581144	1653.23	2.8395751	303472.91	293263.28	1247255.4	.87474871	294039.4129945413	1002654.9	.98407906	.60692126	191.40973	10.508833
BEL	BEL	48.419998	53.25	2010	2010	3.6400001	3.27		15	6.3000002	35216.74180312183	10.712066	377244.06	1	Belgium	4.6071115	1545.6	3.059741	371505	347338.75	1546251.4	.85697377	348597.6173194223	1206409.6	.95894086	.61961037	187.66124	10.469276
BGR	BGR	42.080002	48.509998	2010	2010	3.8	3.45		17.9	5.3000002	12559.86482517721	7.494332	94127.797	0	Bulgaria	3.7223284	1653.2	2.9000208	92786.883	92595.414	277343.88	.56259114	85967.91324948693	222046.55	.9451859	.47363403	112.0708	9.438262
BLR	BLR	36.279999	47.380001	2010	2010	4.5500002	4.1700001		27.5	9.1000004	13598.65342932843	9.595421	130484.8	0	Belarus	4.6100731			128864.21	139198.08	345755.81		127721.1258167073	341267.31		.62289035	116.61327	9.5177259
CAN	CAN	50.310001	54.279999	2010	2010	3.8800001	3.53		15.1	5.5	34389.59554238721	34.016593	1169816.9	1	Canada	17.235138	1711.22	3.3789785	1154299.8	1146855.6	3321402.8	.88361824	1218118.653277711	3529579.8	.93256658	.58277237	185.44432	10.445509
CHE	CHE	50.810001	55.009998	2010	2010	3.8	3.4200001		15.2	6.4000001	44402.84184450593	7.664318	340317.5	0	Switzerland	4.541985	1623.17	2.9167993	335318.81	337157.59	1168129.4	.96550906	319751.6756158612	936347.25	1.0211185	.69988203	210.71982	10.701058
CHL	CHL			2010	2010	2.9200001	2.6900001		13.9	5.5	14436.44482124484	17.113688	247060.81	1	Chile	7.6966586	2111.2	2.9675405	243852.44	234184.56	656154.19	.6481747	220274.2279522118	657104.5	.90010756	.44669574	120.15176	9.5775108
CZE	CZE	45.34	51.18	2010	2010	4.1700001	3.8		18.6	7.8000002	23184.28856109239	10.49296	243271.81	0	Czech Republic	5.2033291	1811.19	3.3857806	239778.41	227696.36	917964.38	.60330439	236709.2206174799	847282.13	1.0577875	.56626165	152.26389	10.05123
DEUTNP	DEU	48.5	53.27	2010	2010	3.72	3.3599999		16.799999	7	33751.61667393559	82.302465	2777841.3	0	Germany	40.799374	1406.55	3.3203359	2751656	2785358.8	10154122	.82671094	2796784.135	8757859	1.0150735	.60899353	183.71613	10.426784
DNK	DNK	47.900002	51.849998	2010	2010	3.4300001	3.1099999		16.1	6.9000001	35805.81812141023	5.550142	198727.38	0	Denmark	2.8346546	1523.14	2.9272318	195869.72	193105.42	823595.25	.84742123	179405.1688990488	648660.44	.94518107	.69266909	189.22426	10.485866
ESP	ESP	49.73	55.529999	2010	2010	4.2399998	3.8099999		15.9	6.6999998	29172.89690956152	46.076989	1344199.3	1	Spain	18.681576	1674.24	3.0131483	1319341.8	1286105.9	6825539.5	.76989454	1188658.518269347	4729286.5	.96664703	.65057135	170.80075	10.280995
EST	EST	42.040001	51.169998	2010	2010	4.1500001	3.77		16.200001	5.3000002	18755.89371495519	1.34114	25154.279	0	Estonia	.57222056	1879.5	3.3073771	24744.205	23695.357	87577.977	.60661983	20724.41834958569	66897.563	.93082428	.60654026	136.95216	9.839263
FIN	FIN	47.5	53.740002	2010	2009	4.0500002	3.6500001		17.5	7.3000002	32014.94122675345	5.341546	171009.28	1	Finland	2.5270803	1672.53	2.9167428	168833.27	168418.95	810711.63	.81696552	164071.3266745461	650164.88	.93922395	.60540271	178.9272	10.373958
FRATNP	FRA	49.040001	55.310001	2010	2010	3.96	3.5799999		17.799999	7.0999999	31235.16073241179	64.731126	2021887.1	0	France	26.719887	1477.68	3.0403047	1997694.5	1948176	8555333	.84790105	1886594.064873717	6769370	.95752549	.62665796	176.73473	10.349299
GBR_NP	GBR	49.330002	53.029999	2010	2010	3.8	3.4200001		16.5	6.9000001	32410.89144502098	62.03557	2010628.1	0	United Kingdom	28.87933	1651.2	2.8233063	1994593.9	1952376	6307148.5	.95079684	1987254.977629825	4879003.5	.96651864	.63274431	180.03026	10.38625
HUN	HUN	41.23	48.970001	2010	2009	4.4299998	4.04		20.4	7.0999999	18206.52618106712	10.002247	182106.17	1	Hungary	4.0410118	1957.19	3.2634976	180177.33	167425.03	759903.38	.58132672	157884.1565759706	503040.91	.95958954	.61247778	134.93156	9.809535
IRL	IRL	48.450001	52.869999	2010	2009	3.9300001	3.55		16.799999	7.0999999	35730.38056462326	4.412180999999999	157648.91	1	Ireland	1.858705	1807.8	3.2575922	155279.63	173258.58	512735.81	1.1292557	187195.6779464344	360441.47	.90985203	.52949834	189.02481	10.483757
ISL	ISL	50.549999	54.400002	2010	2010	3.77	3.3800001		9.8000002	4.3000002	31341.31556100376	.320136	10033.483	0	Iceland	.17337979	1697.97	3.0670218	9859.4453	10445.759	39755.605	.78698623	9485.793392404139	44555.105	.88676006	.7472434	177.03479	10.352693
ISR	ISR	50.599998	53.950001	2010	2009	4	3.5899999		4	1.7	24112.43652517047	7.260949	175079.17	1	Israel	3.1286514	1933.56	3.2136531	173209.19	164744.58	451880.41	.83846301	181996.894665251	509599.19	.99788904	.5563044	155.2818	10.090483
ITA	ITA	50.080002	54.779999	2010	2009	4.6500001	4.1900001		9.6999998	3.9000001	29507.91440087608	60.24865399999999	1777812.1	1	Italy	24.739162	1771.44	2.8152664	1754232.8	1725382	9153608	.81629777	1619285.865903741	7263982	.92109489	.55135548	171.77867	10.292414
JPN	JPN	50.34	56.830002	2010	2010	5.1199999	4.6799998		10.4	4.1999998	30767.37617271049	126.53592	3893178.3	0	Japan	62.032574	1761.32	3.2686722	3844681.5	3907270.8	18180116	.71959126	4025786.771125047	17319660	.99699205	.52381545	175.40631	10.33421
LTU	LTU	39.220001	49.610001	2010	2010	4.27	3.9000001		24.4	7.9000001	16367.35428724962	3.323611	54398.719	0	Lithuania	1.2587336	1882.44	3.0950425	53940.086	50739.32	161320.39	.67375731	49396.20565953435	117473.44	.97642404	.53784686	127.93496	9.7030439
LUX	LUX	48.790001	53.34	2010	2009	4.2800002	3.8499999		16.799999	7.1999998	74132.9539026439	.497637	36891.301	1	Luxembourg	.35761255	1518.94	2.9359961	36391.527	29467.549	116344.56	.98465335	28523.78044184192	101654.97	.88722605	.50399905	272.27368	11.213615
LVA	LVA	39.080002	48.450001	2010	2010	4.3699999	4.02		19.700001	6.3000002	14893.17870360914	2.25206	33540.332	0	Latvia	.9468329	1934.01	3.0174947	33055.25	32991.574	141030.33	.54855138	27347.04020338817	88133.93	.92492384	.58480734	122.03761	9.6086588
NLD	NLD	49.330002	53.240002	2010	2009	3.5	3.1500001		14	6	36398.97835459877	16.559268	602740.44	1	Netherlands	8.715169	1383.86	3.1337433	596401.06	614806.69	2238345.8	.90132111	623336.3323347752	1790832	.98342723	.61220515	190.78516	10.502296
NOR	NOR	49.630001	53.66	2010	2009	4.0100002	3.5799999		10.8	4.6999998	47811.20345523233	4.834002	231119.45	1	Norway	2.7009194	1406.68	3.4236691	227728.78	277231.44	800280.69	1.1726029	281754.0659767953	680453	.89479846	.53613222	218.65773	10.775015
NZL_NP	NZL	49.77	53.200001	2010	2008	3.6500001	3.3099999		15.7	6.3000002	26512.8348998284	4.277809	113416.84	1	New Zealand	2.2527435	1691.74	3.4953575	112159.35	107836.77	265393.34	.79982162	105322.5938865841	268393.84	.93805599	.50898999	162.82762	10.185384
POL	POL	42.810001	50.720001	2010	2009	4.0300002	3.6600001		19.799999	5.8000002	16932.69142582433	38.249228	647662.38	1	Poland	15.707432	2054.54	2.8953404	641969.81	631208.63	1473850.3	.80976391	620762.5016015318	1653278.3	1.0473335	.5620327	130.12567	9.7370014
PRT	PRT	47.560001	53.639999	2010	2010	4.46	4.0300002		18.700001	7.5999999	23033.93263143184	10.675572	245900.41	0	Portugal	4.9093194	1942.3	2.564698	242493.64	230924.13	1153528	.68523514	218569.4581714752	888273.06	.97033191	.66634697	151.76933	10.044724
RUS	RUS	35.450001	46.27	2010	2010	4.3800001	3.99		23.9	7.8000002	17249.13031199813	142.958164	2465904	0	Russia	67.781418		3.2445557	2449900.5	2414723.5	7077597.5	.60850865	2007268.816825391	7267399	1.1308892	.61969984	131.33594	9.755517
SVK	SVK	42.66	49.75	2010	2009	4.46	4.02		20.5	6.0999999	20249.77207771579	5.451968	110401.11	1	Slovak Republic	2.1987321	1780.31	3.1648772	109099.15	103484.63	338512.75	.73930305	99172.05801504113	283354.97	1.0956774	.54256517	142.3017	9.9158993
SVN	SVN	46.639999	52.810001	2010	2009	4.4299998	4.02		16.299999	7	24937.63440013538	2.02404	50474.77	1	Slovenia	.99269885	1670.21	3.2697077	49664.641	45648.418	189609.8	.63299638	47441.09933715852	201538.03	.96588421	.68664187	157.91655	10.124133
SWE	SWE	50.32	53.990002	2010	2010	3.8399999	3.46		12.9	5.5	35121.12464413792	9.379686999999999	329425.16	0	Sweden	4.660975	1639.77	3.2443764	325978.91	317970.28	881590.94	.9274742	315408.2773105845	677865.38	.99227434	.63583452	187.40631	10.466558
TWN	TWN	47.369999	53.130001	2010	2010	4.0999999	3.74				28432.36208386969	23.140948	657951.81	0	Taiwan	10.554821	2174.4	3.2129467	650656.5	676575.56	1865619	.92599475	760526.1141048602	1876687.3	1.0821999	.47847751	168.61899	10.255283
UKR	UKR	36.540001	46.240002	2010	2009	4.4099998	4.0100002		22	7.1999998	6930.51363217464	45.71501	316828.5	1	Ukraine	21.346388		3.1504111	315032.03	325768.25	1590587.4	.30532908	286828.9028617301	1561524.9	1.0077423	.64458668	83.24971	8.843689
USA	USA	47.959999	52.189999	2010	2010	3.78	3.4300001		13.6	4.9000001	42287.27704694316	310.383948	13125292	0	United States	140.8549	1695.03	3.6187477	13015021	12993576	40731044	1	12992000	40615356	1.0094631	.62043649	205.6387	10.652242
